trip_duration,usertype,number_of_trips
853,member,4
853,casual,10
854,casual,7
854,member,7
855,casual,7
855,member,2
856,member,5
856,casual,4
857,casual,11
857,member,5
858,member,11
858,casual,8
859,casual,6
859,member,1
860,casual,8
860,member,8
861,casual,8
861,member,7
862,casual,7
862,member,4
863,casual,5
863,member,6
864,member,1
864,casual,9
865,casual,6
865,member,2
866,casual,8
866,member,2
867,casual,8
867,member,7
868,member,4
868,casual,9
869,casual,5
869,member,4
870,casual,3
870,member,2
871,casual,12
871,member,2
872,member,8
872,casual,9
873,member,6
873,casual,10
874,member,5
874,casual,4
875,casual,7
875,member,5
876,casual,12
876,member,8
877,member,5
877,casual,7
878,casual,13
878,member,5
879,member,5
879,casual,6
880,member,11
880,casual,6
881,member,8
881,casual,1
882,member,5
882,casual,2
883,casual,2
883,member,5
884,member,5
884,casual,5
885,casual,9
885,member,3
886,casual,6
886,member,4
887,casual,7
887,member,5
888,member,5
888,casual,5
889,member,3
889,casual,6
890,casual,5
890,member,4
891,member,7
891,casual,4
892,casual,6
892,member,6
893,member,5
893,casual,5
894,casual,5
894,member,4
895,member,8
895,casual,4
896,member,7
896,casual,1
897,member,1
897,casual,5
898,casual,4
898,member,3
899,casual,6
899,member,8
900,member,4
900,casual,9
901,member,7
901,casual,5
902,member,2
902,casual,3
903,casual,4
903,member,4
904,casual,5
904,member,5
905,casual,4
905,member,4
906,member,9
906,casual,13
907,member,2
907,casual,5
908,casual,8
908,member,8
909,casual,5
909,member,1
910,member,5
910,casual,6
911,member,3
911,casual,9
912,member,2
912,casual,2
913,casual,6
913,member,5
914,casual,3
914,member,7
915,member,2
915,casual,3
916,casual,7
916,member,2
917,member,4
917,casual,7
918,casual,7
918,member,6
919,member,3
919,casual,8
920,casual,4
920,member,8
921,member,4
921,casual,4
922,member,5
922,casual,7
923,casual,4
923,member,3
924,member,6
924,casual,4
925,member,3
925,casual,4
926,member,2
926,casual,8
927,member,3
927,casual,9
928,casual,4
928,member,2
929,member,4
929,casual,6
930,member,3
930,casual,5
931,casual,7
931,member,4
932,member,9
932,casual,5
933,casual,6
933,member,4
934,casual,7
934,member,7
935,casual,1
935,member,4
936,casual,8
936,member,4
937,member,7
937,casual,4
938,casual,4
938,member,4
939,member,1
939,casual,7
940,member,3
940,casual,5
941,member,1
941,casual,2
942,casual,5
942,member,3
943,member,4
943,casual,7
944,member,2
944,casual,5
945,casual,3
945,member,7
946,casual,3
946,member,2
947,casual,8
947,member,1
948,member,5
948,casual,5
949,member,3
949,casual,6
950,member,3
950,casual,12
951,casual,8
951,member,2
952,casual,10
952,member,3
953,member,2
953,casual,9
954,member,3
954,casual,7
955,casual,5
955,member,7
956,casual,3
956,member,3
957,casual,9
957,member,5
958,member,4
958,casual,11
959,casual,8
959,member,4
960,casual,7
960,member,2
961,casual,10
961,member,2
962,member,8
962,casual,4
963,member,3
963,casual,9
964,member,3
964,casual,8
965,member,2
965,casual,6
966,casual,4
966,member,4
967,member,4
967,casual,2
968,casual,9
968,member,3
969,casual,4
969,member,5
970,member,4
970,casual,10
971,casual,8
971,member,4
972,casual,9
972,member,4
973,casual,6
973,member,7
974,member,6
974,casual,7
975,casual,4
975,member,3
976,member,3
976,casual,4
977,member,1
977,casual,8
978,member,3
978,casual,3
979,casual,5
979,member,3
980,casual,9
980,member,2
981,member,2
981,casual,5
982,casual,8
982,member,2
983,member,3
983,casual,3
984,casual,4
984,member,5
985,casual,8
985,member,2
986,member,3
986,casual,3
987,member,2
987,casual,8
988,casual,6
988,member,4
989,member,4
989,casual,7
990,casual,4
990,member,2
991,member,5
991,casual,7
992,casual,9
992,member,1
993,member,3
993,casual,5
994,member,5
994,casual,6
995,casual,5
995,member,8
996,casual,5
996,member,1
997,casual,5
997,member,4
998,member,1
998,casual,2
999,casual,8
999,member,5
1000,member,3
1000,casual,6
1001,casual,7
1001,member,3
1002,member,6
1002,casual,7
1003,member,4
1003,casual,10
1004,casual,5
1004,member,2
1005,member,2
1005,casual,8
1006,casual,6
1006,member,4
1007,member,3
1007,casual,9
1008,casual,3
1008,member,2
1009,casual,1
1009,member,4
1010,member,4
1010,casual,5
1011,member,3
1011,casual,8
1012,member,4
1013,member,2
1013,casual,7
1014,casual,5
1015,member,1
1015,casual,4
1016,member,2
1016,casual,6
1017,casual,3
1017,member,5
1018,casual,13
1018,member,4
1019,casual,9
1019,member,3
1020,member,6
1020,casual,7
1021,casual,8
1021,member,3
1022,member,3
1022,casual,4
1023,casual,5
1023,member,2
1024,casual,5
1024,member,5
1025,member,4
1025,casual,6
1026,member,3
1026,casual,7
1027,member,4
1027,casual,5
1028,member,4
1028,casual,4
1029,casual,9
1029,member,6
1030,casual,4
1030,member,3
1031,casual,10
1031,member,4
1032,member,1
1032,casual,7
1033,casual,10
1033,member,3
1034,member,5
1034,casual,11
1035,casual,5
1035,member,4
1036,casual,4
1036,member,5
1037,casual,8
1037,member,3
1038,member,1
1038,casual,3
1039,member,7
1039,casual,8
1040,casual,4
1040,member,1
1041,member,2
1041,casual,3
1042,casual,2
1042,member,2
1043,casual,4
1043,member,1
1044,casual,6
1044,member,2
1045,casual,9
1045,member,4
1046,member,4
1046,casual,4
1047,member,4
1047,casual,8
1048,member,4
1048,casual,4
1049,casual,6
1049,member,3
1050,member,2
1050,casual,8
1051,casual,4
1051,member,2
1052,casual,6
1052,member,3
1053,casual,5
